Entity,Code,Year,Human Development Index,Population,Agriculture per capita,Land-use change and forestry per capita,Waste per capita,Buildings per capita,Industry per capita,Manufacturing and construction per capita,Transport per capita,Electricity and heat per capita,Fugitive emissions per capita,Other fuel combustion per capita,Aviation and shipping per capita,Total emissions per capita
New Zealand,NZL,2010,0.926,4347766.0,10.131640019265069,-4.425261157109191,0.9430130324401084,0.3381046726065754,0.4600063572878577,1.2581173871822908,3.208544342082808,1.966527177405592,0.3151043547421825,0.3358046408201361,0.7912109345351153,15.32281176125854
New Zealand,NZL,2011,0.927,4382699.0,10.096518150117085,-4.289594151914152,0.8967077136714158,0.3308463574614638,0.4517764053611712,1.1750749937424405,3.1898152257319063,1.82535921358049,0.294339173189854,0.3605084446821467,0.7940312579075132,15.125382783531336
New Zealand,NZL,2012,0.929,4411682.0,10.188857673785192,-4.261413220626509,0.8636161899248405,0.3445397923059731,0.4873424693801593,1.212689400550629,3.146192313951912,2.128439901153347,0.3196059915469882,0.4034742304635738,0.786548078487978,15.619892820924084
New Zealand,NZL,2013,0.933,4453857.0,10.06094268406013,-4.221060532477805,0.8419668615314772,0.330051009720339,0.4894634021702987,1.389806632767958,3.1500786846097664,1.8568175852974176,0.294127090294996,0.3839368888583535,0.808288187070218,15.38441849390315
New Zealand,NZL,2014,0.932,4522976.0,10.02658426664214,-4.156555329942056,0.8158345301854354,0.344905655037745,0.5350459520457327,1.4990130392025074,3.130682099573378,1.642723728801568,0.2896323128842603,0.3891243287605329,0.7671939890903688,15.284184572281612
New Zealand,NZL,2015,0.934,4614035.0,9.592471665256117,-4.074524792291346,0.7888973534010904,0.3489353678504823,0.5136501998792814,1.45209128235915,3.1967681216115613,1.5842966080664755,0.2904182564718299,0.3597718699576401,0.7867300529796588,14.83950598554194
New Zealand,NZL,2016,0.938,4714768.0,9.38752447628388,-2.774261639172914,0.763558249313646,0.339359221917176,0.4857078863689581,1.387130819586457,3.1920976811584367,1.3022910141071629,0.2587614067118466,0.3202702656843348,0.92051188945034,15.582951271409325
New Zealand,NZL,2017,0.936,4812749.0,9.15069537181349,-2.717781459203461,0.739701987367303,0.3490728479710868,0.469586093103962,1.3651241733155002,3.3328147800768333,1.4316142395957072,0.2493377485507762,0.3199834439734962,0.9682615902055146,15.658410816770209
New Zealand,NZL,2018,0.938,4900840.0,8.959688543188514,-2.6689302242064628,0.7100823532292423,0.3509602435500853,0.4611454362925539,1.37527444274859,3.3014748492095234,1.2895748483933367,0.2101680528235976,0.2897462475820471,1.0079904669403612,15.28717525975139
New Zealand,NZL,2019,0.938,4989410.0,8.73850816028348,-2.621552448085044,0.6874560318755123,0.3888235282327971,0.4669890828775346,1.412992718577948,3.1486688806893,1.4149969635688389,0.1904032741346171,0.3567556083785457,0.998114005463572,15.182155805997102
New Zealand,NZL,2020,0.94,5069895.0,8.518914099798911,-2.581907514849913,0.6647080462218645,0.3747612130034251,0.4556307379146905,1.252491422406184,2.8126815249625485,1.3629473588703511,0.1696287595699713,0.343202374013663,0.4260443263617886,13.799102348273484
New Zealand,NZL,2021,0.939,5107694.0,8.428461062859286,-1.1844875593565316,0.6480419539620033,0.3719878285582496,0.4640058703595008,1.2060236967993776,2.9230412001971926,1.3548188282226774,0.1487951314232998,0.3191264002894456,0.2623493106673971,14.9421637239819
New Zealand,NZL,2022,0.933,5131731.0,8.088888525138984,-1.1789394260922874,0.6625444708617814,0.3897320416834008,0.483267731687417,1.1614014842165343,2.917144332000255,0.931459579623328,0.1383548747976072,0.2884017108457166,0.4131159641844048,14.29537128894714
New Zealand,NZL,2023,0.938,5172837.0,7.8196935260090354,-1.1695709723697074,0.6727449560076995,0.369236455739858,0.4929596660401246,1.1367069946336992,2.921027668182856,0.8525302459752743,0.1372554364268582,0.2919094493021914,0.6785444814905245,14.203037907438413
Norway,NOR,1990,0.856,4241440.0,1.313233241540609,-2.61939341355766,0.6247878079142932,0.6365762571202234,1.954524878343204,1.4853445999471877,2.4237051567392207,1.728186653589347,0.4267418612546682,0.3300765777660417,0.6342185672790374,8.938002187936172
Norway,NOR,1991,0.863,4261618.0,1.3234410029242414,-2.606991053632681,0.5936712300351651,0.5185823788054209,1.7833602167064246,1.177956353666612,2.4403876649666865,1.6378755674487953,0.2487318196985276,0.4364539477728881,0.5772455438286586,8.130714672220739
Norway,NOR,1992,0.868,4286255.0,1.3205000635753124,-2.5920063085374063,0.5855927843770378,0.4782729912242738,1.1735186077356574,1.073197931527639,2.4846865153846425,2.4053631900108603,0.2333038981581823,0.4129478997399828,0.662583070769238,8.237960643965419
Norway,NOR,1993,0.875,4311864.0,1.3010614434963623,-2.578931060905446,0.5821148347907077,0.4684748869630396,1.2685928869741718,1.09233500871085,2.611399617427637,2.643868173949828,0.3246855652219086,0.3919418608750183,0.6702437739223686,8.775786991426445
Norway,NOR,1994,0.89,4336467.0,1.3052099785378282,-2.56429946313439,0.5765061742658252,0.4888772357774197,1.2498653858083089,1.3005979291437015,2.559687413740264,2.783371809355404,0.4243085442596473,0.4104723960772675,0.7494580265455727,9.284055430376847
Norway,NOR,1995,0.887,4358991.0,1.312230284485561,-2.562519628969181,0.5758213311291535,0.4794685283819122,1.192936622259601,1.3076420667076394,2.7024602711957884,2.4478141845211425,0.5827036577960358,0.4014690555681349,0.7685264778018582,9.208552850877648
Norway,NOR,1996,0.894,4381137.0,1.321574741899192,-2.5518489834944678,0.5500855143310972,0.5797581769298701,1.136691228783761,1.4105927296955103,2.809772896853032,2.27566497007512,0.4176997888904182,0.4428074264739952,0.8217045027352489,9.214502993172776
Norway,NOR,1997,0.9,4404988.0,1.3121488639696637,-2.5403020394153173,0.5357562835585478,0.4994338236562733,1.1078350270193698,1.321229478945232,2.839962333609081,2.776398028780101,0.4517605950345381,0.4449501338028617,0.9580048799224878,9.707177408882838
Norway,NOR,1998,0.908,4431308.0,1.2975852727907875,-2.5229571043132184,0.4896973986010451,0.4806707184425005,1.123821679738804,1.3652853739798725,2.9223877013288178,2.987831132478266,0.3836339067381459,0.4535906779668667,0.9004113458148248,9.881958103566712
Norway,NOR,1999,0.913,4461789.0,1.2775144678513484,-2.498997599393427,0.4661804939677784,0.4975582664263146,1.1811405693994046,1.3918183939222586,2.9472482898675847,3.2094749437949663,0.4639392405154076,0.4370444232123034,0.9099489016625394,10.28287039122648
Norway,NOR,2000,0.924,4490864.0,1.2425225969880185,-2.471684735943908,0.4765230031459425,0.3874532829317476,1.144545904752404,1.4807840985609897,2.741120639591847,2.2133825473227424,0.4542555730923938,0.4052672269745866,0.8216681689759476,8.895838306392712
Norway,NOR,2001,0.923,4513650.0,1.2273880340744188,-4.182867524065889,0.4541778826448661,0.4674708938442281,1.1143974388798423,1.3913351721998826,2.773808336933524,2.3683714953529846,0.3234632725178071,0.4253763583795819,0.8086581812945177,7.171579542055764
Norway,NOR,2002,0.923,4538016.0,1.211983386572458,-4.160408425179638,0.4297032006938715,0.5420871147214994,1.0863778356004032,1.1987617496280312,2.758914909070396,2.3688766192098045,0.3217264989810525,0.4385176253234893,0.7293936381008793,6.925934152722247
Norway,NOR,2003,0.93,4564666.0,1.2136703977903311,-4.131737130383691,0.4250037133056394,0.5257777896564612,0.9244926134792776,1.461224107086915,2.826055619403479,2.552213020624072,0.3680444527595228,0.4666277883201093,0.549875938349049,7.181248310391165
Norway,NOR,2004,0.937,4591739.0,1.199981096486538,-4.1030206638487074,0.418142233258467,0.4312091780477941,0.9146861352528964,1.5092321231672794,2.8921504467043966,2.569832475234328,0.3332070921278409,0.4921882537313205,0.5379225604939654,7.19553093065612
Norway,NOR,2005,0.939,4623120.0,1.1831836508678122,-4.070843932236238,0.3936735364861825,0.3698800809842704,0.936596930211632,1.3389226323348735,2.885497239959162,2.543736697295333,0.330945335617505,0.4715430272197131,0.7073145408295697,7.090449739569815
Norway,NOR,2006,0.942,4660487.0,1.1608228925432045,-4.0360588925577945,0.3948085253751378,0.38408003283777,0.8496966089595358,1.3196045820962488,2.995395116433111,2.6091693850878674,0.2939606955238798,0.4463050749846529,0.6050869791075482,7.022871000391161
Norway,NOR,2007,0.943,4709017.0,1.1382418029070611,-3.990217066534268,0.3843689670264515,0.3461444288691249,0.8451870103675565,1.284769199176813,3.0919404198370914,2.6544818164810198,0.2696953525544716,0.4162227488242238,0.6859181013786954,7.126752780888241
Norway,NOR,2008,0.943,4768097.0,1.1178463860949135,-3.9407755337192176,0.3628281891077299,0.3166881881807354,0.7487263786789572,1.2940172987252567,2.9802246053299672,2.9508627865582437,0.2432836412514258,0.3858981895712273,0.5599718294321613,7.0195719592114
Norway,NOR,2009,0.944,4828625.0,1.0769111289445754,-3.88930596184214,0.3624220145486551,0.3334282533847627,0.5798752232778482,1.068627197183463,2.880737269926739,3.0733386833725955,0.2733697481166999,0.4431903492194983,0.5467394962333998,6.749333402366098
Norway,NOR,2010,0.947,4889160.0,1.0553960189480402,-3.8329692626136183,0.3538440141046723,0.4192949300084268,0.5297433505960124,1.3335624115389966,3.131417257770251,3.098691799818374,0.2249875234191558,0.2597583224930254,0.546106079571951,7.119832445655287
